country,emoji
Niger,\U0001F1F3\U0001F1EA
Norfolk Island,\U0001F1F3\U0001F1EB
Nigeria,\U0001F1F3\U0001F1EC
Nicaragua,\U0001F1F3\U0001F1EE
Netherlands,\U0001F1F3\U0001F1F1
Norway,\U0001F1F3\U0001F1F4
Nepal,\U0001F1F3\U0001F1F5
Nauru,\U0001F1F3\U0001F1F7
Niue,\U0001F1F3\U0001F1FA
New Zealand,\U0001F1F3\U0001F1FF
Oman,\U0001F1F4\U0001F1F2
Panama,\U0001F1F5\U0001F1E6
Peru,\U0001F1F5\U0001F1EA
French Polynesia,\U0001F1F5\U0001F1EB
Papua New Guinea,\U0001F1F5\U0001F1EC
Philippines,\U0001F1F5\U0001F1ED
Pakistan,\U0001F1F5\U0001F1F0
Poland,\U0001F1F5\U0001F1F1
St. Pierre & Miquelon,\U0001F1F5\U0001F1F2
Pitcairn Islands,\U0001F1F5\U0001F1F3
Puerto Rico,\U0001F1F5\U0001F1F7
Palestinian Territories,\U0001F1F5\U0001F1F8
Portugal,\U0001F1F5\U0001F1F9
Palau,\U0001F1F5\U0001F1FC
Paraguay,\U0001F1F5\U0001F1FE
Qatar,\U0001F1F6\U0001F1E6
Réunion,\U0001F1F7\U0001F1EA
Romania,\U0001F1F7\U0001F1F4
Serbia,\U0001F1F7\U0001F1F8
Russia,\U0001F1F7\U0001F1FA
Rwanda,\U0001F1F7\U0001F1FC
Saudi Arabia,\U0001F1F8\U0001F1E6
Solomon Islands,\U0001F1F8\U0001F1E7
Seychelles,\U0001F1F8\U0001F1E8
Sudan,\U0001F1F8\U0001F1E9
Sweden,\U0001F1F8\U0001F1EA
Singapore,\U0001F1F8\U0001F1EC
St. Helena,\U0001F1F8\U0001F1ED
Slovenia,\U0001F1F8\U0001F1EE
Svalbard & Jan Mayen,\U0001F1F8\U0001F1EF
Slovakia,\U0001F1F8\U0001F1F0
Sierra Leone,\U0001F1F8\U0001F1F1
San Marino,\U0001F1F8\U0001F1F2
Senegal,\U0001F1F8\U0001F1F3
Somalia,\U0001F1F8\U0001F1F4
Suriname,\U0001F1F8\U0001F1F7
South Sudan,\U0001F1F8\U0001F1F8
São Tomé & Príncipe,\U0001F1F8\U0001F1F9
El Salvador,\U0001F1F8\U0001F1FB
Sint Maarten,\U0001F1F8\U0001F1FD
Syria,\U0001F1F8\U0001F1FE
Eswatini,\U0001F1F8\U0001F1FF
Tristan da Cunha,\U0001F1F9\U0001F1E6
Turks & Caicos Islands,\U0001F1F9\U0001F1E8
Chad,\U0001F1F9\U0001F1E9
French Southern Territories,\U0001F1F9\U0001F1EB
Togo,\U0001F1F9\U0001F1EC
Thailand,\U0001F1F9\U0001F1ED
Tajikistan,\U0001F1F9\U0001F1EF
Tokelau,\U0001F1F9\U0001F1F0
Timor-Leste,\U0001F1F9\U0001F1F1
Turkmenistan,\U0001F1F9\U0001F1F2
Tunisia,\U0001F1F9\U0001F1F3
Tonga,\U0001F1F9\U0001F1F4
Turkey,\U0001F1F9\U0001F1F7
Trinidad & Tobago,\U0001F1F9\U0001F1F9
Tuvalu,\U0001F1F9\U0001F1FB
Taiwan,\U0001F1F9\U0001F1FC
Tanzania,\U0001F1F9\U0001F1FF
Ukraine,\U0001F1FA\U0001F1E6
Uganda,\U0001F1FA\U0001F1EC
U.S. Outlying Islands,\U0001F1FA\U0001F1F2
United Nations,\U0001F1FA\U0001F1F3
United States,\U0001F1FA\U0001F1F8
Uruguay,\U0001F1FA\U0001F1FE
Uzbekistan,\U0001F1FA\U0001F1FF
Vatican City,\U0001F1FB\U0001F1E6
St. Vincent & Grenadines,\U0001F1FB\U0001F1E8
Venezuela,\U0001F1FB\U0001F1EA
British Virgin Islands,\U0001F1FB\U0001F1EC
U.S. Virgin Islands,\U0001F1FB\U0001F1EE
Vietnam,\U0001F1FB\U0001F1F3
Vanuatu,\U0001F1FB\U0001F1FA
Wallis & Futuna,\U0001F1FC\U0001F1EB
Samoa,\U0001F1FC\U0001F1F8
Kosovo,\U0001F1FD\U0001F1F0
Yemen,\U0001F1FE\U0001F1EA
Mayotte,\U0001F1FE\U0001F1F9
South Africa,\U0001F1FF\U0001F1E6
Zambia,\U0001F1FF\U0001F1F2
Zimbabwe,\U0001F1FF\U0001F1FC
England,\U0001F3F4\U000E0067\U000E0062\U000E0065\U000E006E\U000E0067\U000E007F
Scotland,\U0001F3F4\U000E0067\U000E0062\U000E0073\U000E0063\U000E0074\U000E007F
Wales,\U0001F3F4\U000E0067\U000E0062\U000E0077\U000E006C\U000E0073\U000E007F
